PRVDR_NUM,ST_ADR,CITY_NAME,STATE_CD,ZIP_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,ADDRESS,LAT,LONG
07G159,1 JUNIPER DRIVE,GRANBY,CT,6035.0,3.0,U,"1 JUNIPER DRIVE,GRANBY,CT",41.970913,-72.819182
07G160,25 NORTH CHURCH ST,GRANBY,CT,6035.0,3.0,U,"25 NORTH CHURCH ST,GRANBY,CT",41.941299874296284,-72.72503077402337
07G161,765 PROSPECT STREET,WETHERSFIELD,CT,6109.0,3.0,U,"765 PROSPECT STREET,WETHERSFIELD,CT",41.68843200346879,-72.6931532992014
07G162,151 HILLSIDE AVE,HARTFORD,CT,6106.0,3.0,U,"151 HILLSIDE AVE,HARTFORD,CT",41.748539182138956,-72.69818410216276
07G163,3 ERICA LANE,WOLCOTT,CT,6716.0,9.0,U,"3 ERICA LANE,WOLCOTT,CT",41.63785419991994,-72.95055669999931
07G164,240 ORAL SCHOOL RD,MYSTIC,CT,6355.0,11.0,U,"240 ORAL SCHOOL RD,MYSTIC,CT",0.0,0.0
07G165,54 LANESVILLE ROAD,NEW MILFORD,CT,6776.0,5.0,R,"54 LANESVILLE ROAD,NEW MILFORD,CT",41.537714,-73.4166044
07G166,240 ORAL SCHOOL RD,MYSTIC,CT,6355.0,11.0,U,"240 ORAL SCHOOL RD,MYSTIC,CT",0.0,0.0
07G167,7 LYDA DRIVE,MILFORD,CT,6460.0,9.0,U,"7 LYDA DRIVE,MILFORD,CT",41.23626165555656,-73.00684954390462
07G168,23 WILDWOOD TERRACE,WEST HAVEN,CT,6516.0,9.0,U,"23 WILDWOOD TERRACE,WEST HAVEN,CT",41.264628088910136,-72.96685269916533
07G169,52 MOHAWK ROAD,BRISTOL,CT,6010.0,3.0,U,"52 MOHAWK ROAD,BRISTOL,CT",41.643924462204204,-72.95966498326518
07G170,210 HAYES ROAD,ROCKY HILL,CT,6067.0,3.0,U,"210 HAYES ROAD,ROCKY HILL,CT",41.66604062862503,-72.68711432823547
07G171,"48 LAKESIDE BLVD, EAST",WATERBURY,CT,6708.0,9.0,U,"48 LAKESIDE BLVD, EAST,WATERBURY,CT",0.0,0.0
07G172,148 HIGHVIEW ST,WATERBURY,CT,6708.0,9.0,U,"148 HIGHVIEW ST,WATERBURY,CT",41.5258291,-73.0485805
07G173,240 ORAL SCHOOL RD,MYSTIC,CT,6355.0,11.0,U,"240 ORAL SCHOOL RD,MYSTIC,CT",0.0,0.0
07G174,27 MAPLE AVENUE,BETHEL,CT,6801.0,1.0,U,"27 MAPLE AVENUE,BETHEL,CT",41.37489339397829,-73.40624520975943
07G175,6 MOUNTAINVILLE RD,DANBURY,CT,6810.0,1.0,U,"6 MOUNTAINVILLE RD,DANBURY,CT",41.3804736,-73.444673
07G176,40 SHORE ROAD,WATERFORD,CT,6385.0,11.0,U,"40 SHORE ROAD,WATERFORD,CT",41.303875,-72.133048
07G177,7 YANKEE DR,SOUTHBURY,CT,6488.0,9.0,U,"7 YANKEE DR,SOUTHBURY,CT",41.488016258292184,-73.26311773770072
07G178,87 MOUNTAIN RD.,NEWINGTON,CT,6111.0,3.0,U,"87 MOUNTAIN RD.,NEWINGTON,CT",41.71719,-72.7161806
07G179,2 DEER HILL ROAD,DANBURY,CT,6810.0,1.0,U,"2 DEER HILL ROAD,DANBURY,CT",0.0,0.0
07G180,318 MOUNTAIN RD,NEWINGTON,CT,6111.0,3.0,U,"318 MOUNTAIN RD,NEWINGTON,CT",41.709991,-72.714541
07G181,P O  BOX 872,SOUTHBURY,CT,6488.0,9.0,U,"P O  BOX 872,SOUTHBURY,CT",0.0,0.0
07G182,P. O. BOX 872,SOUTHBURY,CT,6488.0,9.0,U,"P. O. BOX 872,SOUTHBURY,CT",0.0,0.0
07G183,P. O. BOX 872,SOUTHBURY,CT,6488.0,9.0,U,"P. O. BOX 872,SOUTHBURY,CT",0.0,0.0
07G184,45 RITCH DRIVE,RIDGEFIELD,CT,6877.0,1.0,U,"45 RITCH DRIVE,RIDGEFIELD,CT",41.311643099403234,-73.47992536646774
07G185,12 SAWMILL ROAD,NEW FAIRFIELD,CT,6812.0,1.0,U,"12 SAWMILL ROAD,NEW FAIRFIELD,CT",41.5764884,-73.4945422
07G186,26 DORSET LANE,BROOKFIELD,CT,6804.0,1.0,U,"26 DORSET LANE,BROOKFIELD,CT",41.4764021,-73.3718673
07G187,5 SQUIRE COURT,BROOKFIELD,CT,6804.0,1.0,U,"5 SQUIRE COURT,BROOKFIELD,CT",41.4385008,-73.3822772
07G188,36 SWEETCAKE MOUNTAIN ROAD,NEW FAIRFIELD,CT,6812.0,1.0,U,"36 SWEETCAKE MOUNTAIN ROAD,NEW FAIRFIELD,CT",41.474225741467734,-73.46821813310599
07G189,14 GREENVIEW ROAD,NEW MILFORD,CT,6776.0,5.0,R,"14 GREENVIEW ROAD,NEW MILFORD,CT",41.51434470709116,-73.39418228814226
07G190,55 HAZELWOOD LN,STAMFORD,CT,6905.0,1.0,U,"55 HAZELWOOD LN,STAMFORD,CT",41.0886052,-73.5443045
07G191,90 FARMINGTON AVE,PLAINVILLE,CT,6062.0,3.0,U,"90 FARMINGTON AVE,PLAINVILLE,CT",41.67952370174409,-72.85582603391545
07G192,20 CORTINA RD,EAST HAVEN,CT,6512.0,9.0,U,"20 CORTINA RD,EAST HAVEN,CT",41.338633043279486,-72.83687038553157
07G193,225 TRYON ST,S GLASTONBURY,CT,6073.0,3.0,U,"225 TRYON ST,S GLASTONBURY,CT",41.6499212,-72.6204406
07G194,1 BRUNS ROAD,ANSONIA,CT,6401.0,9.0,U,"1 BRUNS ROAD,ANSONIA,CT",41.335011,-73.063142
07G195,34 CLOVERDALE AVE,HUNTINGTON,CT,6484.0,1.0,U,"34 CLOVERDALE AVE,HUNTINGTON,CT",41.293128909621764,-73.15494604467932
07G196,103 PROSPECT STREET,WATERTOWN,CT,6795.0,5.0,R,"103 PROSPECT STREET,WATERTOWN,CT",41.59703630250939,-73.12142034317938
07G197,7 GEORGE STREET,MIDDLEBURY,CT,6762.0,9.0,U,"7 GEORGE STREET,MIDDLEBURY,CT",41.53029242846623,-73.09265609796584
07G198,55 PISGAH RD,OXFORD,CT,6478.0,9.0,U,"55 PISGAH RD,OXFORD,CT",0.0,0.0
07G199,544 MOOSE HILL ROAD,MONROE,CT,6468.0,1.0,U,"544 MOOSE HILL ROAD,MONROE,CT",41.32504309687066,-73.2057929454385
07G200,1 VICTORIA ST,TORRINGTON,CT,6790.0,5.0,R,"1 VICTORIA ST,TORRINGTON,CT",41.81903,-73.117302
